fid,identified_as,p_nom_mw,status,p_nom_source_shipped,source_title,research_notes,review_revision,qa_flag_added
11,"DolWin3 offshore wind HVDC export link, DolWin gamma platform - Doerpen West converter (DE)",900,operational,https://en.wikipedia.org/wiki/HVDC_DolWin3,HVDC DolWin3 - Wikipedia,900 MW in operation since Sept 2018. Voltage discrepancy: OSM 600 kV vs published +/-320 kV (640 kV pole-to-pole); OSM tag is 6% low. Offshore end unmapped.,,
12,"DolWin1 offshore wind HVDC export link, DolWin alpha platform - Doerpen West converter (DE)",800,operational,https://en.wikipedia.org/wiki/HVDC_DolWin1,HVDC DolWin1 - Wikipedia,"800 MW, +/-320 kV, handed to TenneT July 2015. OSM voltage matches. Offshore platform end unmapped; separate scheme from fids 8 and 11.",,
13,"NordLink, Wilster (DE) - Ertsmyra/Tonstad (NO) - whole scheme, single row",1400,operational,https://en.wikipedia.org/wiki/NordLink,NordLink - Wikipedia,"1400 MW, +/-525 kV, commissioned 27 May 2021. Internal grid constraints occasionally curtail below rating. OSM voltage matches.",,
14,Ultranet (Corridor A) - Weissenthurm to Bischofsheim/Marxheim section of the 342 km Osterath-Philippsburg 380 kV DC link,2000,under_construction,https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2025/20251031_Ultranet.html,Bundesnetzagentur: Milestone - Ultranet power line fully approved (31 Oct 2025),"Series section of one 2000 MW 380 kV link, so carries full scheme rating. Final consent Oct 2025; commissioning due end 2026, so not yet energised.",,series_section_carries_full_2000MW_scheme_rating
15,"Great Belt Power Link (Storebaelt), Fraugde (Funen) - Herslev (Zealand), DK1-DK2 - whole scheme",600,operational,https://en.wikipedia.org/wiki/Great_Belt_Power_Link,Great Belt Power Link - Wikipedia,"600 MW LCC monopole, 400 kV, commercial operation Aug 2010. OSM name 'Storebaelt I' implies a pole; only one link exists, so row takes full 600 MW.",,
16,"Skagerrak pole 4 (Skagerrak 4), Tjele (DK) - Kristiansand/Vollen (NO)",700,operational,https://en.wikipedia.org/wiki/Skagerrak_(power_transmission_system),Skagerrak (power transmission system) - Wikipedia,"Pole 4 only: ~700 MW VSC at 500 kV, in service end 2014. Poles 1-3 are separate rows (fids 70-72); system total 1700 MW. OSM voltage matches.",,skagerrak_pole_4;system_total_1700MW_exceeds_sum_of_pole_nameplates_1640MW_fids_70_71_72
17,"Viking Link, Bicker Fen (GB) - Revsing (DK) - whole scheme, single row",1400,operational,https://www.nationalgrid.com/national-grid-ventures/viking-link,Viking Link - National Grid Ventures,"Rated 1400 MW; launched Dec 2023 at 800 MW pending Danish reinforcement, ramping to 1.4 GW. Use 1400 MW as asset rating. OSM 525 kV matches.",,
18,"EstLink 2, Puessi (EE) - Anttila/Porvoo (FI) - whole scheme, single row",650,operational,https://www.fingrid.fi/en/grid/development/part-of-the-nordic-power-system/,Part of the Nordic power system - Fingrid,"Fingrid states 650 MW, 450 kV, in service 2014. Damaged 25 Dec 2024 (Eagle S anchor incident), repaired and restored 18 June 2025.",,
19,"EstLink 1, Harku (EE) - Espoo (FI) - whole scheme, single row",350,operational,https://www.fingrid.fi/en/grid/development/part-of-the-nordic-power-system/,Part of the Nordic power system - Fingrid,"Fingrid states 350 MW, +/-150 kV, in service 2006-07. Espoo substation reactor fault 1 Sept 2025 repaired within weeks. OSM voltage matches.",,
20,"INELFE Baixas (FR) - Santa Llogaia (ES) interconnection, circuit 1 of 2",1000,operational,https://www.inelfe.eu/en/projects/baixas-santa-llogaia,Electrical interconnection Baixas - Santa Llogaia - INELFE,Scheme is two +/-320 kV 1000 MW circuits totalling 2000 MW; apportioned 1000 MW each to fids 20 and 21. In service 2015. Endpoint 'unknown' is Santa Llogaia.,,
21,"INELFE Baixas (FR) - Santa Llogaia (ES) interconnection, circuit 2 of 2",1000,operational,https://www.inelfe.eu/en/projects/baixas-santa-llogaia,Electrical interconnection Baixas - Santa Llogaia - INELFE,"Second of two 1000 MW +/-320 kV circuits; fids 20+21 sum to the 2000 MW scheme total. Duplicate geometry of fid 20 is correct, not an umbrella row.",,
22,"COMETA / Proyecto Romulo, Morvedre-Sagunto (mainland ES) - Santa Ponsa, Mallorca - whole scheme",400,operational,https://en.wikipedia.org/wiki/Cometa_(HVDC),Cometa (HVDC) - Wikipedia,"Two +/-250 kV bipoles at 200 MW each, 400 MW total; single OSM row so takes full scheme total. Full capacity from Aug 2012. OSM voltage matches.",,
23,"Fenno-Skan 2, Rauma (FI) - Finnboele (SE) - whole scheme, single row",800,operational,https://www.fingrid.fi/en/grid/development/part-of-the-nordic-power-system/,Part of the Nordic power system - Fingrid,"Fingrid states 800 MW, 500 kV, commissioned Dec 2011. OSM voltage matches. Separate scheme from Fenno-Skan 1 (fid 24).",,
24,"Fenno-Skan 1, Rauma (FI) - Dannebo (SE) - whole scheme, single row",400,operational,https://www.fingrid.fi/en/grid/development/part-of-the-nordic-power-system/,Part of the Nordic power system - Fingrid,"Fingrid states current rating 400 MW; original 1989 design 500 MW (550 MW peak), since derated. Life extended to 2040, Fenno-Skan 3 to replace late 2030s.",,
25,"Vyborg (RU) – Yllikkälä 400 kV cross-border line, circuit 1 of 2 (Finnish section, clipped at border); export leg of the Vyborg back-to-back HVDC scheme",333,operational,inferred: equal split of the 1000 MW Vyborg back-to-back scheme across its three border circuits; https://en.wikipedia.org/wiki/Vyborg_HVDC_scheme,,"400 kV AC line, not DC: Vyborg is back-to-back HVDC (±85 kV), so no DC line exists. 1000 MW scheme rating split equally over fids 25-27. RU trade suspended 2022-05-14; assets intact.","review round 2: split relabelled inferred (cited page gives scheme total and circuit count, no per-circuit rating). Rated rather than unknown because the rows are the working feeders of a published-capacity HVDC scheme, unlike fids 62/64 which are not HVDC assets at all.",inferred_equal_split_of_vyborg_btb_1000MW_across_3_rows;ru_trade_suspended_2022
26,"Vyborg (RU) – Yllikkälä 400 kV cross-border line, circuit 2 of 2 (Finnish section, clipped at border); export leg of the Vyborg back-to-back HVDC scheme",333,operational,inferred: equal split of the 1000 MW Vyborg back-to-back scheme across its three border circuits; https://en.wikipedia.org/wiki/Vyborg_HVDC_scheme,,"Second Yllikkälä circuit; same 400 kV AC mis-classification as fid 25 (back-to-back converter, ±85 kV). Takes 333 MW of the 1000 MW scheme. Trade suspended since May 2022.","review round 2: split relabelled inferred, see fid 25.",inferred_equal_split_of_vyborg_btb_1000MW_across_3_rows;ru_trade_suspended_2022
27,"Vyborg (RU) – Kymi 400 kV cross-border line (Finnish section, clipped at border); third export leg of the Vyborg back-to-back HVDC scheme",334,operational,inferred: equal split of the 1000 MW Vyborg back-to-back scheme across its three border circuits; https://en.wikipedia.org/wiki/Vyborg_HVDC_scheme,,"Third border circuit, 400 kV AC not DC. Takes 334 MW of the 1000 MW Vyborg total (4x250 MW blocks). Physically intact; RU trade suspended 2022-05-14. Fingrid quotes 1400 MW border capacity.","review round 2: split relabelled inferred, see fid 25.",inferred_equal_split_of_vyborg_btb_1000MW_across_3_rows;ru_trade_suspended_2022
28,"IFA-2000 (HVDC Cross-Channel), Sellindge – Les Mandarins — whole-scheme row (inferred umbrella/duplicate of fids 30-33)",2000,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/hvdc-ifa2000renovation-casestudy-en-2018-04-grid-pea-0572.pdf,,"Umbrella of fids 30-33 (four 500 MW poles, eight cables). OSM endpoints snap to Morehall/Peuplingues, a few km off the true converters. NESO 2026-06-22: partial outage, 1500 MW available.",,umbrella_relation_of_ifa2000;duplicates_fids_30_31_32_33;exclude_from_capacity_sums
29,"SACOI / SA.CO.I.2 (HVDC Italy-Corsica-Sardinia), Sardinia-Corsica section: Codrongianos - Strait of Bonifacio - Corsican overhead line",300,operational,inferred: series-section capability equal to the 300 MW scheme rating; https://en.wikipedia.org/wiki/HVDC_Italy%E2%80%93Corsica%E2%80%93Sardinia,,"Series section of the 300 MW three-terminal SACOI2 link (200 kV); section rating not separately published. With the 50 MW Lucciana tap loaded this section carries ~250 MW. SACOI3 (400 MW) under construction, ~2029.","review round 1: research split 300 MW as 150/150 parallel - corrected, SACOI2 is series three-terminal. Review round 2: per-section 300 MW is an inference from series topology (cited page gives scheme rating and 50 MW tap only, no section ratings); exclude_from_capacity_sums added so the scheme counts once (canonical row: fid 36).",series_section_of_sacoi2_300MW;do_not_sum_sections;exclude_from_capacity_sums
30,"IFA-2000 (HVDC Cross-Channel), Sellindge – Les Mandarins: one of the four 500 MW poles (cable pairs)",500,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/hvdc-ifa2000renovation-casestudy-en-2018-04-grid-pea-0572.pdf,,"Four 500 MW poles arranged as two 1000 MW bipoles, eight 270 kV cables in four pairs. Fids 30-33 each 500 MW, summing to the 2000 MW scheme. Pole identity not determinable from OSM.",,ifa2000_member_cable_pair;umbrella_row_fid_28
31,"IFA-2000 (HVDC Cross-Channel), Sellindge – Les Mandarins: one of the four 500 MW poles (cable pairs)",500,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/hvdc-ifa2000renovation-casestudy-en-2018-04-grid-pea-0572.pdf,,Second of four equal 500 MW poles; fids 30-33 sum to 2000 MW. Voltage 270 kV matches published ±270 kV. Which physical pole this relation is cannot be told from OSM tags.,,ifa2000_member_cable_pair;umbrella_row_fid_28
32,"IFA-2000 (HVDC Cross-Channel), Sellindge – Les Mandarins: one of the four 500 MW poles (cable pairs)",500,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/hvdc-ifa2000renovation-casestudy-en-2018-04-grid-pea-0572.pdf,,"Third of four equal 500 MW poles; fids 30-33 sum to 2000 MW, the scheme total also carried on umbrella fid 28. Deduplicate fid 28 against these four rows.",,ifa2000_member_cable_pair;umbrella_row_fid_28
33,"IFA-2000 (HVDC Cross-Channel), Sellindge – Les Mandarins: one of the four 500 MW poles (cable pairs)",500,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/hvdc-ifa2000renovation-casestudy-en-2018-04-grid-pea-0572.pdf,,Fourth of four equal 500 MW poles; fids 30-33 sum to 2000 MW. Routine pole outages mean NESO often reports IFA below 2000 MW; nominal rating unchanged.,,ifa2000_member_cable_pair;umbrella_row_fid_28
34,"SAPEI (Sardegna–Penisola Italiana), Fiume Santo (Sardinia) – Latina; whole scheme, both ±500 kV poles in one row",1000,operational,https://en.wikipedia.org/wiki/SAPEI,,Two 500 MW poles = 1000 MW; OSM 500 kV matches published ±500 kV. Countries tag lists FR although SAPEI is a wholly Italian Terna asset. In service since 2011.,,
35,"Savoie–Piémont (France–Italy) HVDC interconnector, circuit 2 of 2; row covers only the French section from Grande-Île to Bardonecchia, not onward to Piossasco",600,operational,https://www.rte-france.com/actualites/interconnexion-electrique-france-italie-savoie-piemont-pleinement-operationnelle,,"Scheme is 2 x 600 MW = 1200 MW at ±320 kV. Circuit 2 entered service 2023-08-04, completing the link. Fid 35 takes 600 MW, fid 38 the other 600 MW.",,
36,"SACOI / SA.CO.I.2 (HVDC Italy-Corsica-Sardinia), Italy-Corsica section: Suvereto (Tuscany) - Furiani/Lucciana (Corsica)",300,operational,inferred: series-section capability equal to the 300 MW scheme rating; https://en.wikipedia.org/wiki/HVDC_Italy%E2%80%93Corsica%E2%80%93Sardinia,,"Series section of the 300 MW three-terminal SACOI2 link; section rating not separately published, capability inferred equal to scheme rating. Canonical SACOI2 row for capacity sums (fid 29 is the other series section, excluded).","review round 1: 150 -> 300 (series link). Review round 2: provenance downgraded from ""verified"" to inference from series-tap topology; designated canonical row.",series_section_of_sacoi2_300MW;do_not_sum_sections;canonical_sacoi2_row_for_capacity_sums
37,"IFA-2 (Interconnexion France-Angleterre 2), Tourbe substation near Merville-Franceville (Normandy) – Daedalus/Chilling (Hampshire)",1000,operational,https://en.wikipedia.org/wiki/IFA-2,,"±320 kV, 1000 MW, live 2021-01-22; OSM voltage matches. NESO status report 2026-06-22 lists IFA2 fully available at 1000 MW import and export.",,
38,"Savoie–Piémont (France–Italy) HVDC interconnector, circuit 1 of 2; row covers only the French section from Grande-Île to Bardonecchia, not onward to Piossasco",600,operational,https://www.gevernova.com/grid-solutions/sites/default/files/resources/products/applications/hvdc/france-italy-hvdc-link-casestudy-en-2018-02-grid-pea-1641.pdf,,"Two 600 MW, ±320 kV converter pairs make 1200 MW total. Circuit 1 energised 2022-11-07. Fid 38 takes 600 MW, fid 35 the other 600 MW; OSM voltage matches.",,
39,"ElecLink, Cheriton/Folkestone (Eurotunnel terminal) – Peuplingues, routed through the Channel Tunnel",1000,operational,https://en.wikipedia.org/wiki/ElecLink,,"1000 MW, commercial operation 2022-05-25; AC tails to Sellindge and Les Mandarins. NESO 2026-06-22: fully available. Distinct scheme from IFA despite sharing the Calais corridor.",,
40,"Moyle Interconnector, Auchencrosh (South Ayrshire) – Ballycronan More (Co. Antrim); both monopoles in one row",500,operational,https://en.wikipedia.org/wiki/Moyle_Interconnector,,"Voltage discrepancy: OSM 500 kV vs published 250 kV dual monopole (2 x 250 MW). NESO 2026-06-22 lists Moyle fully available, 500 MW both directions. Commercial capacity often lower.",,voltage_tag_500kV_vs_published_250kV_dual_monopole
41,"Caithness–Moray HVDC Link, Spittal (Caithness) – Blackhillock (Moray); southern leg of the Caithness–Moray–Shetland multi-terminal HVDC network",1200,operational,https://en.wikipedia.org/wiki/Caithness_-_Moray_Link,,"1200 MW Blackhillock converter rating, in service January 2019; ±320 kV consistent with OSM. Now the mainland leg of Europe's first multi-terminal VSC HVDC scheme with fid 47.",,
42,"East–West Interconnector (EWIC), Shotton/Deeside (Wales) – Portan/Woodland (Co. Meath)",500,operational,https://en.wikipedia.org/wiki/East%E2%80%93West_Interconnector,,"±200 kV, 500 MW, commissioned 2012; OSM voltage matches. NESO 2026-06-22 lists EWIC fully available at 500 MW import and export.",,
43,"North Sea Link (NSL), Kvilldal (Suldal, Norway) – Cambois near Blyth (Northumberland)",1400,operational,https://en.wikipedia.org/wiki/North_Sea_Link,,1400 MW reached June 2023 after staged ramp-up from 700 MW; ±515 kV consistent with OSM. NESO 2026-06-22 lists NSL fully available at 1400 MW.,,
44,"BritNed, Isle of Grain/Medway (Kent) – Maasvlakte (Rotterdam)",1000,operational,https://en.wikipedia.org/wiki/BritNed,,"±450 kV bipole, 1000 MW since April 2011; OSM voltage matches. NESO 2026-06-22 lists BritNed fully available at 1000 MW each direction.",,
45,"Greenlink Interconnector, Pembroke 400 kV (Pembrokeshire) – Great Island (Co. Wexford)",500,operational,https://en.wikipedia.org/wiki/Greenlink,,"±320 kV symmetrical monopole, 500 MW nominal; full operation 2025-01-29, launched April 2025. OSM voltage matches. NESO 2026-06-22 lists Greenlink fully available.",,
46,"Western HVDC Link (Western Link), Hunterston East (Ayrshire) – Flintshire Bridge/Connah's Quay (Flintshire)",2250,operational,https://en.wikipedia.org/wiki/Western_HVDC_Link,,"±600 kV, 2250 MW; full capacity from 2018-10-16, handover 2019. OSM voltage matches. Internal GB link, so absent from NESO's interconnector availability table.",,
47,"Shetland HVDC Connection, Kergord (Shetland) – Noss Head landfall/Spittal HVDC switching station (Caithness)",600,operational,https://en.wikipedia.org/wiki/Shetland_HVDC_Connection,,"Kergord converter rated 600 MW; ±320 kV matches OSM. First power June 2024, commissioned August 2024. Shetland leg of the three-terminal Caithness–Moray–Shetland network.",,
48,Eastern Green Link 1 (EGL1) — Torness (East Lothian) to Hawthorn Pit / Murton (Co. Durham) ±525 kV HVDC bipole; whole scheme in one row,2000,under_construction,https://en.wikipedia.org/wiki/Eastern_Green_Links,Eastern Green Links — Wikipedia,"2 GW at ±525 kV; OSM kv matches. Construction began 13 February 2025, completion expected 2029. NGET / SP Transmission joint venture.",,
49,Eastern Green Link 2 (EGL2) — Peterhead (Aberdeenshire) to Drax (Yorkshire) ±525 kV HVDC bipole; whole scheme in one row,2000,under_construction,https://en.wikipedia.org/wiki/Eastern_Green_Links,Eastern Green Links — Wikipedia,"2 GW at ±525 kV; OSM kv matches. Construction began September 2024, target energisation 2029. OSM endpoints unnamed; coordinates match Peterhead and Drax.",,
50,Dogger Bank A offshore wind farm HVDC export link — Creyke Beck onshore converter to Dogger Bank A offshore converter platform,1200,operational,https://www.hitachienergy.com/news-and-events/customer-stories/dogger-bank,Dogger Bank HVDC Connection — Hitachi Energy,"1200 MW, ±320 kV symmetrical monopole; OSM kv matches. Link energised for first power October 2023. Separate scheme from fid 51 despite identical OSM geometry.",,
51,Dogger Bank B offshore wind farm HVDC export link — Creyke Beck onshore converter to Dogger Bank B offshore converter platform,1200,operational,https://www.hitachienergy.com/news-and-events/customer-stories/dogger-bank,Dogger Bank HVDC Connection — Hitachi Energy,"1200 MW, ±320 kV; OSM kv matches. Offshore platform installed before May 2025; phase commissioning continued into 2026. OSM start node mislabels this Dogger Bank A.",,
52,"inferred: Spittal converter station DC tail into the Caithness–Moray–Shetland multi-terminal HVDC grid (Spittal to the Mybster / Noss Head DC node), ±320 kV, SSEN Transmission",800,operational,https://www.hitachienergy.com/us/en/news-and-events/customer-stories/cms-hvdc-links-the-first-regional-dc-grid-in-europe,Caithness Moray Shetland: the first multi-terminal HVDC VSC interconnection in Europe — Hitachi Energy,"800 MW = Hitachi-published Spittal converter rating. Short stub overlapping the fid 41 / 47 corridors — dedupe risk. Same DC grid: Blackhillock 1200 MW, Kergord 600 MW.",,inferred_identification_spittal_dc_tail;overlaps_fids_41_47;exclude_from_capacity_sums
53,"East Anglia THREE offshore wind farm HVDC export link — offshore converter platform to Bramford onshore converter station, Suffolk (adjacent to the East Anglia ONE substation)",1400,under_construction,https://www.offshorewind.biz/2026/08/17/all-foundations-in-at-east-anglia-three/,All Foundations In at East Anglia Three — Offshore Wind,"1400 MW at ±320 kV (NKT export cable order); OSM kv matches. All 95 foundations in by 17 August 2026, turbines installing, full operation targeted end-2026.",,
54,"Crete–Attica (Ariadne) interconnection — Damasta converter station, Crete to KYT Koumoundourou, Attica; ±500 kV HVDC VSC bipole, IPTO / Ariadne Interconnection",1000,operational,https://www.admie.gr/en/erga/erga-diasyndeseis/ilektriki-diasyndesi-kritis-attikis,Crete-Attica Electrical Interconnection — IPTO (ADMIE),"1000 MW at 500 kV DC; OSM kv matches. Converters energised 21 May 2025, entered operation 24 May 2025. Row unnamed in OSM; identified from endpoints and voltage.",,
55,"MON.ITA / Italy–Montenegro HVDC interconnector — Cepagatti (Villanova, Abruzzo) to Lastva (Kotor); ±500 kV, first pole only, second pole not yet built",600,partially_operational,https://balkangreenenergynews.com/italy-montenegro-undersea-power-interconnector-put-in-operation/,Italy-Montenegro undersea power interconnector put in operation — Balkan Green Energy News,600 MW in service since 15 November 2019; design 1200 MW awaits a second cable/pole with no published completion date. OSM 500 kV matches published voltage.,,second_pole_not_built_design_1200MW
56,"NordBalt — Klaipėda (Lithuania) to Nybro (Sweden) ±300 kV HVDC VSC link, Litgrid / Svenska kraftnät",700,operational,https://www.hitachienergy.com/news-and-events/customer-stories/nordbalt,NordBalt — Hitachi Energy,"700 MW at ±300 kV; OSM kv matches. Commissioned 2015, handed over to Svenska kraftnät and Litgrid June 2016.",,
57,"Net op zee IJmuiden Ver Beta 2 GW offshore grid connection — Amaliahaven (Maasvlakte) onshore converter to the IJmuiden Ver Beta offshore platform, ±525 kV, TenneT",2000,under_construction,https://www.hvdcworld.com/news/dutch-2gw-offshore-wind-farm-pushed-back-by-three-years,IJmuiden Ver Beta Pushed Back by Three Years — HVDC World,"2000 MW at 525 kV; OSM kv matches. Offshore platform steel cut 2024; completion deferred from 2029 to 2032, first 1 GW still targeted 2029.",,
58,"SwePol Link — Bruskowo Wielkie / Wierzbięcino near Słupsk (Poland) to Stärnö, Karlshamn (Sweden); 450 kV monopolar HVDC with metallic return",600,operational,https://en.wikipedia.org/wiki/SwePol,SwePol — Wikipedia,"600 MW at 450 kV; OSM kv matches. Commissioned 2000, in service with routine outages (90 percent technical availability in 2023).",,
59,"HVDC Gotland 2 and 3 — Ygne (Gotland) to Västervik ±150 kV bipole, Vattenfall; one row covering both poles, so no apportionment needed",260,operational,https://www.hitachienergy.com/us/en/news-and-events/customer-stories/the-gotland-hvdc-link,The Gotland HVDC link — Hitachi Energy,"260 MW continuous, 320 MW maximum, at ±150 kV; OSM kv matches. Poles commissioned 1983 and 1987, control and cooling systems upgraded 2018.",,
60,"SydVästlänken HVDC southern branch — Barkeryd (Nässjö) to Hurva (Hörby) ±300 kV bipole, Svenska kraftnät; the only branch built, whole scheme in one row",1200,operational,https://www.svk.se/utveckling-av-kraftsystemet/transmissionsnatet/avslutade-transmissionsnatsprojekt/sydvastlanken/byggnation/sydvastlankens-likstromsforbindelse-ar-nu-i-drift-och-en-del-av-transmissionsnatet/,SydVästlänkens likströmsförbindelse är nu i drift — Svenska kraftnät,TSO states 2 x 600 MW = 1200 MW; commercial operation 27 July 2021. OSM 300 kV matches. Contractor NCC cites 2 x 720 MW converters.,,
61,"HVDC Volgograd–Donbass — Volzhskaya converter (Volgograd, Russia) to Mykhailivska converter (Luhansk Oblast, Ukraine); ±400 kV bipolar overhead line, 1965",750,unknown,https://en.wikipedia.org/wiki/HVDC_Volgograd%E2%80%93Donbass,HVDC Volgograd–Donbass — Wikipedia,"Degraded, reportedly run at 100 kV; OHL war-damaged, Ukrainian end in occupied Luhansk; RU trade suspended since Feb 2022. OSM 800 kV = ±400 kV pole-to-pole.",,reported_degraded_war_damage
62,"inferred: Amprion 380 kV three-phase AC overhead line Wesel (Niederrhein)–Dörpen, Wesel to Kabelübergabestation Marbeck (Borken) section — an AC asset, not HVDC",unknown,operational,unknown; context: https://de.wikipedia.org/wiki/380-kV-Leitung_Wesel%E2%80%93D%C3%B6rpen,380-kV-Leitung Wesel–Dörpen — Wikipedia (de),"AC 380 kV, not DC — kv=0/frequency=0 mis-tagged. Marbeck cable station sits on this route, which replaced the 220 kV Ibbenbüren–Wesel line. OSM tags unverifiable, API blocked.",,probable_ac_misclassification_frequency0_tag;published_380kV_ac_wesel_doerpen
63,"unknown — degenerate single-point relation at Umspannwerk Maade, Wilhelmshaven; inferred: an existing AC line, since Wilhelmshaven's only onshore DC infrastructure (the Sengwarden converters) is a separate unbuilt project",unknown,unknown,unknown; context: https://www.tennet.eu/de/projekte/wilhelmshaven2-conneforde,Wilhelmshaven2 – Conneforde — TenneT,"Existing Wilhelmshaven network is 380/220 kV AC; onshore DC arrives only with the planned Sengwarden coupling point (groundbreaking April 2026). Start==end, no length. OSM tags unverifiable.",,degenerate_zero_length_relation;unidentified_probable_ac
64,"Ostbayernring, Redwitz an der Rodach – Mechlenreuth section — TenneT 380/110 kV three-phase AC overhead line (Ersatzneubau); an AC asset, not HVDC",unknown,operational,unknown; context: https://de.wikipedia.org/wiki/Ostbayernring,Ostbayernring — Wikipedia (de),AC asset: kv=0/frequency=0 mis-tagged. In operation since October 2022 as a new double-circuit 380 kV AC line. Published 380 kV against OSM 0.,,probable_ac_misclassification_frequency0_tag;published_380kV_ac_ostbayernring
65,"unknown — power route relation at Umspannwerk Wangen (47.23,7.63, Wangen an der Aare, Switzerland); inferred: an AC asset, since the Swiss grid contains no HVDC",unknown,unknown,unknown; context: https://en.wikipedia.org/wiki/Swissgrid,Swissgrid — Wikipedia,"Swiss transmission grid is 220/380 kV AC at 50 Hz with no HVDC, so frequency=0 must be wrong. Degenerate ~1 km geometry; scheme unidentifiable. OSM API blocked.",,degenerate_relation_unidentified;probable_ac_swiss_grid_has_no_hvdc
68,inferred: Konti-Skan pole 1 - Vester Hassing (DK) to Lindome/Stenkullen (SE); one of two rows sharing OSM relation 8184629,350,operational,https://en.wikipedia.org/wiki/Konti%E2%80%93Skan,Konti-Skan - Wikipedia,"Pole 1 rated 350 MW since the 2006 rebuild (250 MW as built 1965). Pole identity between the two OSM rows is inferred. SvK quotes 715 MW system capability, above the 650 MW sum of pole nameplates.","review round 2 blocker fix: research shipped 385/330 (pro-rata of SvK 715 MW system figure), exceeding published pole nameplates; replaced with sourced 350/300 and the SvK system figure moved to qa_flags.",inferred_pole_identity_konti_skan;svk_system_capability_715MW_exceeds_sum_of_pole_nameplates
